name,datetime,tempmax,tempmin,temp,feelslikemax,feelslikemin,feelslike,dew,humidity,precip,precipprob,precipcover,preciptype,snow,snowdepth,windgust,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,severerisk,sunrise,sunset,moonphase,conditions,description,icon,stations
"Amsterdam,Netherlands",2024-01-11,4.7,-5.3,-0.3,3.2,-8.7,-2.6,-2.4,86,0,0,0,,0,0,27.3,10.6,9.4,1034.4,59.7,14.8,13.4,1.1,1,,2024-01-11T08:46:46,2024-01-11T16:49:51,0,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"06260099999,D3248,06249099999,C0449,06240099999,06269099999,06257099999"
"Amsterdam,Netherlands",2024-01-12,5.6,2.3,4,3.9,1,2.4,2.6,90.9,0.01,100,4.17,rain,0,0,31.8,13.7,328.2,1033.1,100,18.5,20.2,1.7,2,,2024-01-12T08:46:05,2024-01-12T16:51:20,0.03,"Rain, Overcast",Cloudy skies throughout the day with late afternoon rain.,rain,"06260099999,D3248,06249099999,C0449,06240099999,06269099999,06257099999,06344099999"
"Amsterdam,Netherlands",2024-01-13,5.9,3.2,4.6,2.1,-0.9,1,3.4,92.3,1.002,100,41.67,rain,0,0,38.6,26.7,265.8,1022.5,99.6,17,10,0.8,1,,2024-01-13T08:45:21,2024-01-13T16:52:51,0.07,"Rain, Overcast",Cloudy skies throughout the day with rain.,rain,"06260099999,D3248,06249099999,C0449,06240099999,06257099999"
"Amsterdam,Netherlands",2024-01-14,5.7,2.7,4.3,2.1,-1.6,0.5,2.5,88,2.747,100,62.5,rain,0,0,42,27.2,275.1,1009.3,95.4,25.6,11.8,1,1,,2024-01-14T08:44:33,2024-01-14T16:54:24,0.1,"Rain, Overcast",Cloudy skies throughout the day with a chance of rain throughout the day.,rain,"06260099999,D3248,06249099999,C0449,06240099999,06269099999,06257099999"
"Amsterdam,Netherlands",2024-01-15,3.9,1.4,2.5,0.2,-4.4,-2.1,-0.3,81.9,3.366,100,70.83,"rain,snow",0.1,0,60.6,34.4,301,1003.2,69.4,28.2,25,2.1,3,,2024-01-15T08:43:43,2024-01-15T16:55:59,0.14,"Snow, Rain, Partially cloudy",Partly cloudy throughout the day with a chance of rain or snow throughout the day.,snow,"06260099999,D3248,06348099999,06249099999,C0449,06240099999,06269099999,06257099999"
"Amsterdam,Netherlands",2024-01-16,3,-0.2,1.3,-1.3,-5.6,-3,-1.8,80.5,2.814,100,41.67,"rain,snow",0.1,0.5,49.7,30.3,231,1006.7,88.4,34.2,45.8,3.9,3,,2024-01-16T08:42:50,2024-01-16T16:57:36,0.17,"Snow, Rain, Partially cloudy",Partly cloudy throughout the day with a chance of rain or snow throughout the day.,snow,"06260099999,D3248,06249099999,C0449,06240099999,06269099999,06257099999"
"Amsterdam,Netherlands",2024-01-17,0.5,-2.1,-0.5,0.2,-7.3,-4,-2.8,84.5,0.129,100,8.33,"rain,snow",0,0.5,31.6,24.3,184.6,993.6,99.8,25.1,18.3,1.6,1,,2024-01-17T08:41:53,2024-01-17T16:59:14,0.21,"Snow, Rain, Overcast",Cloudy skies throughout the day with rain or snow clearing later.,rain,"06260099999,D3248,06348099999,06249099999,C0449,06240099999,06269099999,06257099999"
"Amsterdam,Netherlands",2024-01-18,3.5,-3.4,-0.3,2.9,-6.3,-2.3,-2.5,85.7,0.337,100,8.33,"rain,snow",0,0,24.5,12.9,292.9,1001.5,40.9,34.2,22.9,2.1,2,,2024-01-18T08:40:54,2024-01-18T17:00:53,0.25,"Snow, Rain, Partially cloudy",Partly cloudy throughout the day with morning rain or snow.,rain,"06260099999,D3248,06348099999,06249099999,C0449,06240099999,06269099999,06257099999"
"Amsterdam,Netherlands",2024-01-19,4.8,-1.3,2,0.9,-4.8,-2.1,-1.1,80.5,0.751,100,33.33,"rain,snow",0.2,0,38.5,23.9,245.2,1018.5,33.8,32.3,47.6,4,3,,2024-01-19T08:39:52,2024-01-19T17:02:34,0.28,"Snow, Rain, Partially cloudy",Partly cloudy throughout the day with a chance of rain or snow throughout the day.,snow,"06260099999,D3248,06348099999,06249099999,C0449,06240099999,06269099999,06257099999,06344099999"
"Amsterdam,Netherlands",2024-01-20,2.2,-0.2,0.9,-3.1,-6.1,-4.5,-2.1,80.8,0,0,0,,0,0,38.9,29.8,201,1025.9,89.7,21.2,30.4,2.6,1,,2024-01-20T08:38:47,2024-01-20T17:04:17,0.31,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"06260099999,D3248,06348099999,06249099999,C0449,06240099999,06269099999,06257099999,06344099999"
"Amsterdam,Netherlands",2024-01-21,7.4,-0.1,3.4,2.2,-5.7,-2,-0.6,76,0.201,100,4.17,rain,0,0,66.7,45.1,189.5,1016.4,99.6,34.2,9.9,0.7,0,,2024-01-21T08:37:40,2024-01-21T17:06:00,0.35,"Rain, Overcast",Cloudy skies throughout the day with late afternoon rain.,rain,"06260099999,D3248,06348099999,06249099999,C0449,06240099999,06269099999,06257099999,06344099999"
"Amsterdam,Netherlands",2024-01-22,11.5,7.6,9.5,11.5,3.2,6.8,6.6,82.3,1.635,100,50,rain,0,0,83.1,55.8,228,1005.8,64.2,16.6,38.5,3.3,3,,2024-01-22T08:36:29,2024-01-22T17:07:45,0.38,"Rain, Partially cloudy",Partly cloudy throughout the day with a chance of rain throughout the day.,rain,"06260099999,D3248,06348099999,06249099999,C0449,06240099999,06269099999,06257099999,06344099999"
"Amsterdam,Netherlands",2024-01-23,11.5,6.2,8.1,11.5,2.1,4.4,5.3,83,4.604,100,33.33,rain,0,0,82,57.5,230.6,1018.5,71.9,14.7,26.8,2.3,2,,2024-01-23T08:35:16,2024-01-23T17:09:31,0.42,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"06260099999,C0449,06257099999,EHAM,D3248,EHRD,06348099999,06249099999,06240099999,EHLE,EHKD,06269099999,06344099999"
"Amsterdam,Netherlands",2024-01-24,12.2,8.6,10,12.2,4.9,8,6.6,79.2,1.409,100,16.67,rain,0,0,94.2,61.6,247.1,1018.3,78.8,14.1,31.8,2.7,2,,2024-01-24T08:34:01,2024-01-24T17:11:17,0.45,"Rain, Partially cloudy",Partly cloudy throughout the day with rain clearing later.,rain,"06260099999,D3248,06348099999,06249099999,C0449,06240099999,06269099999,06257099999,06344099999"
"Amsterdam,Netherlands",2024-01-25,9.6,3.4,6.9,6.8,0.9,4.2,5.7,92.3,1.425,100,33.33,rain,0,0,38.4,26.8,222.3,1026.6,80.5,8.7,20.9,1.8,2,,2024-01-25T08:32:43,2024-01-25T17:13:05,0.5,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"06260099999,D3248,06348099999,06249099999,C0449,06240099999,06269099999,06257099999,06344099999"
"Amsterdam,Netherlands",2024-01-26,11.4,3.9,8.5,11.4,1.1,5.7,5.8,84,4.101,100,29.17,rain,0,0,68.2,48.4,256.5,1024.2,59.2,18.1,44.4,3.8,4,,2024-01-26T08:31:22,2024-01-26T17:14:54,0.52,"Rain, Partially cloudy",Partly cloudy throughout the day with a chance of rain throughout the day.,rain,"06260099999,D3248,06348099999,06249099999,C0449,06240099999,06269099999,06257099999,06344099999"
"Amsterdam,Netherlands",2024-01-27,7.9,2,4.2,5.2,-1.7,0.9,2.5,89.1,0.268,100,4.17,rain,0,0,28.1,20.2,207.5,1034.4,56.5,16.7,43.9,3.9,2,,2024-01-27T08:30:00,2024-01-27T17:16:43,0.56,"Rain, Partially cloudy",Partly cloudy throughout the day with morning rain.,rain,"06260099999,D3248,06348099999,06249099999,C0449,06240099999,06269099999,06257099999,06344099999"
"Amsterdam,Netherlands",2024-01-28,8.6,0.8,4.2,5.6,-3.3,0.9,0,74.9,0,0,0,,0,0,30.7,20.7,150.7,1027.6,88.2,33,62,5.3,3,,2024-01-28T08:28:34,2024-01-28T17:18:33,0.59,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"06260099999,D3248,06348099999,06249099999,C0449,06240099999,06269099999,06257099999,06344099999"
"Amsterdam,Netherlands",2024-01-29,10.5,3,6.4,10.5,-0.2,3.9,4.1,85.4,0,0,0,,0,0,27.8,16.6,171.7,1025.1,99.7,28.6,39.1,3.4,2,,2024-01-29T08:27:07,2024-01-29T17:20:24,0.62,Overcast,Cloudy skies throughout the day.,cloudy,"06260099999,D3248,06348099999,06249099999,C0449,06240099999,06269099999,06257099999,06344099999"
"Amsterdam,Netherlands",2024-01-30,10.5,4.7,7.8,10.5,2.8,5,6.7,92.3,0.644,100,20.83,rain,0,0,58.9,34.3,227.3,1026.7,99.9,17.4,13.5,1.2,1,,2024-01-30T08:25:37,2024-01-30T17:22:15,0.65,"Rain, Overcast",Cloudy skies throughout the day with rain.,rain,"06260099999,D3248,06348099999,06249099999,C0449,06240099999,06269099999,06257099999,06344099999"
"Amsterdam,Netherlands",2024-01-31,8.3,5.1,6.5,5.3,2.5,3.4,3.4,81,0.075,100,8.33,rain,0,0,56.2,37.5,221.6,1030.4,100,34.6,12.7,1.1,1,,2024-01-31T08:24:05,2024-01-31T17:24:07,0.69,"Rain, Overcast",Cloudy skies throughout the day with rain clearing later.,rain,"06260099999,D3248,06348099999,06249099999,C0449,06240099999,06269099999,06257099999,06344099999"
"Amsterdam,Netherlands",2024-02-01,9.1,4.4,6.6,5.3,1.3,3.3,4.6,87.4,4.35,100,20.83,rain,0,0,59.4,37,272.7,1029.2,64.5,12.1,56.7,4.9,4,,2024-02-01T08:22:31,2024-02-01T17:25:59,0.72,"Rain, Partially cloudy",Partly cloudy throughout the day with rain clearing later.,rain,"06260099999,D3248,06348099999,06249099999,C0449,06240099999,06257099999"
"Amsterdam,Netherlands",2024-02-02,9.1,5.9,7.6,5.5,2.4,3.8,6.2,90.6,0,0,0,,0,0,49.7,34.1,237.3,1026.9,99.6,12.7,25,2.1,2,,2024-02-02T08:20:55,2024-02-02T17:27:52,0.75,Overcast,Cloudy skies throughout the day.,cloudy,"06260099999,D3248,06348099999,06249099999,C0449,06240099999,06257099999"
"Amsterdam,Netherlands",2024-02-03,10.9,9.1,10,10.9,6,7.7,8.4,89.9,0,0,0,,0,0,54.2,34.1,249.4,1024.4,99.5,23.2,37,3.1,3,,2024-02-03T08:19:17,2024-02-03T17:29:45,0.75,Overcast,Cloudy skies throughout the day.,cloudy,"06260099999,D3248,06348099999,06249099999,C0449,06240099999,06269099999,06257099999,06344099999"
"Amsterdam,Netherlands",2024-02-04,10.5,8.3,9.7,10.5,5.4,8,8.3,91.1,2.126,100,20.83,rain,0,0,61,38.5,252.3,1020.7,99.9,18.6,13.2,1.1,1,,2024-02-04T08:17:37,2024-02-04T17:31:38,0.82,"Rain, Overcast",Cloudy skies throughout the day with a chance of rain throughout the day.,rain,"06260099999,D3248,06348099999,06249099999,C0449,06240099999,06269099999,06257099999,06344099999"
"Amsterdam,Netherlands",2024-02-05,10.4,8.7,9.4,10.4,4.6,5.6,7.1,85.8,0.051,100,12.5,rain,0,0,72.5,50.4,240.1,1017.4,99.8,16.7,22.2,2,1,,2024-02-05T08:15:56,2024-02-05T17:33:32,0.85,"Rain, Overcast",Cloudy skies throughout the day with rain.,rain,"06260099999,06348099999,06249099999,C0449,06240099999,06257099999"
"Amsterdam,Netherlands",2024-02-06,12,7,10.5,12,3.5,10,7.9,84,4.573,100,25,rain,0,0,82.3,57.4,237.3,1007.6,100,14.3,24.6,2.1,2,,2024-02-06T08:14:12,2024-02-06T17:35:25,0.88,"Rain, Overcast",Cloudy skies throughout the day with rain.,rain,"D3248,06260099999,06348099999,06249099999,06240099999,C0449,06269099999,06257099999,06344099999"
"Amsterdam,Netherlands",2024-02-07,6.7,1.4,4.8,6.7,1.4,3.2,1.8,82,3.834,100,29.17,rain,0,0,27.8,15.6,345.1,1005.3,100,22.2,46.1,4,3,,2024-02-07T08:12:27,2024-02-07T17:37:19,0.92,"Rain, Overcast",Cloudy skies throughout the day with rain clearing later.,rain,"06260099999,D3248,06348099999,06249099999,C0449,06240099999,06257099999"
"Amsterdam,Netherlands",2024-02-08,4,0.5,2.4,1.7,-2.7,-0.3,1.6,94.4,8.38,100,45.83,rain,0.4,0,42.8,24.9,92.6,997.7,99.6,11.9,13.1,1.2,1,,2024-02-08T08:10:39,2024-02-08T17:39:13,0.95,"Rain, Overcast",Cloudy skies throughout the day with rain or snow.,snow,"06260099999,D3248,06348099999,06249099999,C0449,06240099999,06257099999"
"Amsterdam,Netherlands",2024-02-09,12.2,4.9,10.3,12.2,2,9.1,8.7,90.6,12.645,100,54.17,rain,0,0,44.9,27.6,176.5,983.4,99.8,25.9,20.9,1.7,1,,2024-02-09T08:08:51,2024-02-09T17:41:07,0,"Rain, Overcast",Cloudy skies throughout the day with a chance of rain throughout the day.,rain,"06260099999,D3248,06348099999,06249099999,C0449,06240099999,06269099999,06257099999,06344099999"
"Amsterdam,Netherlands",2024-02-10,11.9,9.4,10.4,11.9,7.3,9.6,8.9,90.6,0.454,100,12.5,rain,0,0,24.3,17.2,137.6,985.9,99.4,31.1,37.3,3.3,2,,2024-02-10T08:07:00,2024-02-10T17:43:01,0.02,"Rain, Overcast",Cloudy skies throughout the day with rain.,rain,"06260099999,D3248,06348099999,06249099999,C0449,06240099999,06269099999,06257099999,06344099999"
"Amsterdam,Netherlands",2024-02-11,10,7.9,8.9,8.7,5.2,6.9,8.1,94.4,3.279,100,54.17,rain,0,0,31.9,20.8,211.1,989.7,99.9,10.5,22.8,2,2,,2024-02-11T08:05:08,2024-02-11T17:44:55,0.05,"Rain, Overcast",Cloudy skies throughout the day with a chance of rain throughout the day.,rain,"06260099999,D3248,06348099999,06249099999,C0449,06240099999,06269099999,06257099999,06344099999"
"Amsterdam,Netherlands",2024-02-12,8.9,3.7,7,7,0.5,4.2,5.4,90.2,0.591,100,20.83,rain,0,0,38,26.6,246,1003.4,76.5,21.8,57.4,4.9,4,,2024-02-12T08:03:15,2024-02-12T17:46:49,0.09,"Rain, Partially cloudy",Partly cloudy throughout the day with a chance of rain throughout the day.,rain,"06260099999,D3248,06348099999,06249099999,C0449,06240099999,06269099999,06257099999,06344099999"
"Amsterdam,Netherlands",2024-02-13,9.1,3.8,6.6,6,0.5,3.1,4.6,87,0.083,100,16.67,rain,0,0,39.1,27.7,200.4,1014.3,95.5,24.5,41.9,3.5,3,,2024-02-13T08:01:20,2024-02-13T17:48:43,0.12,"Rain, Overcast",Cloudy skies throughout the day with late afternoon rain.,rain,"06260099999,D3248,06348099999,06249099999,C0449,06240099999,06269099999,06257099999,06344099999"
"Amsterdam,Netherlands",2024-02-14,11.7,8,10.6,11.7,4.2,9.9,10.1,96.6,11.723,100,70.83,rain,0,0,49.8,34.4,224.9,1013.4,100,8.9,13.6,1.2,1,,2024-02-14T07:59:23,2024-02-14T17:50:36,0.15,"Rain, Overcast",Cloudy skies throughout the day with a chance of rain throughout the day.,rain,"06260099999,D3248,06348099999,06249099999,C0449,06240099999,06269099999,06257099999,06344099999"
"Amsterdam,Netherlands",2024-02-15,15.6,11.2,12.8,15.6,11.2,12.8,11.3,90.8,6.248,100,37.5,rain,0,0,31.9,23.2,180.4,1012.6,99.2,23.2,31.5,2.8,2,,2024-02-15T07:57:26,2024-02-15T17:52:30,0.19,"Rain, Overcast",Cloudy skies throughout the day with a chance of rain throughout the day.,rain,"06260099999,D3248,06348099999,06249099999,C0449,06240099999,06269099999,06257099999,06344099999"
"Amsterdam,Netherlands",2024-02-16,12,9.2,10.7,12,7.2,10.3,9,89.9,2.067,100,20.83,rain,0,0,33,23.6,228.8,1012.9,97.4,28.2,21,1.8,1,,2024-02-16T07:55:26,2024-02-16T17:54:23,0.25,"Rain, Overcast",Cloudy skies throughout the day with rain in the morning and afternoon.,rain,"06260099999,D3248,06348099999,06249099999,C0449,06240099999,06269099999,06257099999,06344099999"
"Amsterdam,Netherlands",2024-02-17,11.4,7.9,9.8,11.4,6.2,9.1,8.4,91.4,0.415,100,12.5,rain,0,0,23.8,16.8,228.3,1029.2,99.2,20.9,35.3,3,2,,2024-02-17T07:53:26,2024-02-17T17:56:17,0.26,"Rain, Overcast",Cloudy skies throughout the day with rain.,rain,"06260099999,D3248,06348099999,06249099999,C0449,06240099999,06269099999,06257099999,06344099999"
"Amsterdam,Netherlands",2024-02-18,10.4,8.4,9.4,10.4,4.6,6.9,8.6,94.5,16.3,100,79.17,rain,0,0,56.4,35,225.4,1023.8,100,12.1,10.5,0.8,1,,2024-02-18T07:51:24,2024-02-18T17:58:10,0.29,"Rain, Overcast",Cloudy skies throughout the day with a chance of rain throughout the day.,rain,"06260099999,D3248,06348099999,06249099999,C0449,06240099999,06269099999,06257099999,06344099999"
"Amsterdam,Netherlands",2024-02-19,10.4,5.7,8.7,10.4,3.4,6.2,7.4,92,4.968,100,25,rain,0,0,44.6,33.1,269.7,1026,95,14.2,23.8,2,1,,2024-02-19T07:49:22,2024-02-19T18:00:03,0.33,"Rain, Overcast",Cloudy skies throughout the day with a chance of rain throughout the day.,rain,"06260099999,D3248,06348099999,06249099999,C0449,06240099999,06269099999,06257099999,06344099999"
"Amsterdam,Netherlands",2024-02-20,10.4,5.1,8.3,10.4,2.6,5.6,6.7,90,0.207,100,4.17,rain,0,0,51.2,33.9,231.7,1025.6,99.7,13.7,43.3,3.7,2,,2024-02-20T07:47:18,2024-02-20T18:01:55,0.36,"Rain, Overcast",Cloudy skies throughout the day with morning rain.,rain,"06260099999,D3248,06348099999,06249099999,C0449,06240099999,06269099999,06257099999,06344099999"
"Amsterdam,Netherlands",2024-02-21,10.1,8.7,9.3,10.1,4.8,5.9,7.7,90,5.415,100,37.5,rain,0,0,49.7,37.4,203.7,1011.3,100,15.3,23,1.9,2,,2024-02-21T07:45:13,2024-02-21T18:03:48,0.39,"Rain, Overcast",Cloudy skies throughout the day with rain.,rain,"06260099999,D3248,06348099999,06249099999,C0449,06240099999,06269099999,06257099999,06344099999"
"Amsterdam,Netherlands",2024-02-22,12.5,5.2,9.9,12.5,-0.5,8.1,8.9,93.8,6.403,100,58.33,rain,0,0,67.7,49.2,208.2,986.4,98.1,13.7,27,2.3,1,,2024-02-22T07:43:07,2024-02-22T18:05:40,0.43,"Rain, Overcast",Cloudy skies throughout the day with a chance of rain throughout the day.,rain,"06260099999,D3248,06348099999,06249099999,C0449,06240099999,06257099999"
"Amsterdam,Netherlands",2024-02-23,8.2,4.9,6.2,4.6,-0.8,1.8,3.4,82.3,6.364,100,66.67,rain,0,0,69.8,41.3,209.9,988.7,94.9,32.8,34.5,3,3,,2024-02-23T07:40:59,2024-02-23T18:07:32,0.46,"Rain, Overcast",Cloudy skies throughout the day with a chance of rain throughout the day.,rain,"06260099999,D3248,06348099999,06249099999,C0449,06240099999,06269099999,06257099999,06344099999"
"Amsterdam,Netherlands",2024-02-24,6.2,2.7,4.7,3.3,-0.8,1.4,3.2,89.8,4.341,100,29.17,rain,0,0,38.4,27.8,184.4,996.8,96.7,29.3,34.1,3,1,,2024-02-24T07:38:51,2024-02-24T18:09:23,0.5,"Rain, Overcast",Cloudy skies throughout the day with a chance of rain throughout the day.,rain,"06260099999,D3248,06348099999,06249099999,C0449,06240099999,06269099999,06257099999,06344099999"
"Amsterdam,Netherlands",2024-02-25,8.9,4.1,6.2,8.9,1.4,3.6,4.2,87.5,4.063,100,29.17,rain,0,0,36.7,17.6,164.3,999.5,94.9,26.3,44.7,4,3,,2024-02-25T07:36:42,2024-02-25T18:11:15,0.53,"Rain, Overcast",Cloudy skies throughout the day with a chance of rain throughout the day.,rain,"06260099999,D3248,06348099999,06249099999,C0449,06240099999,06269099999,06257099999,06344099999"
"Amsterdam,Netherlands",2024-02-26,6.5,4.6,5.5,2.5,-0.1,1,3,83.9,0.122,100,29.17,rain,0,0,56.3,34.6,41,1006.5,91.3,36.3,37.9,3.3,2,,2024-02-26T07:34:32,2024-02-26T18:13:06,0.57,"Rain, Overcast",Cloudy skies throughout the day with rain in the morning and afternoon.,rain,"06260099999,D3248,06348099999,06249099999,C0449,06240099999,06269099999,06257099999,06344099999"
"Amsterdam,Netherlands",2024-02-27,8.1,1.7,4.7,7,-0.8,2.3,1.8,82.1,0.05,100,4.17,rain,0,0,44.8,20.9,22.1,1018.7,55.9,33.1,85.5,7.3,5,,2024-02-27T07:32:22,2024-02-27T18:14:56,0.6,"Rain, Partially cloudy",Partly cloudy throughout the day with morning rain.,rain,"06260099999,D3248,06348099999,06249099999,C0449,06240099999,06269099999,06257099999,06344099999"
"Amsterdam,Netherlands",2024-02-28,9.4,2.8,6.9,6.6,0,4.1,5.4,90.2,0,0,0,,0,0,37.1,23.9,190.2,1019.2,91.5,15.6,29.1,2.5,2,,2024-02-28T07:30:10,2024-02-28T18:16:47,0.63,Overcast,Cloudy skies throughout the day.,cloudy,"06260099999,C0449,06257099999,EHAM,D3248,EHRD,06348099999,06249099999,06240099999,EHLE,EHKD,06269099999,06344099999"
"Amsterdam,Netherlands",2024-02-29,9.1,7,8.3,5.9,3.4,4.9,7.6,95.7,4.966,100,79.17,rain,0,0,35.8,25.3,174.3,1008,100,10,15.8,1.5,1,,2024-02-29T07:27:58,2024-02-29T18:18:37,0.67,"Rain, Overcast",Cloudy skies throughout the day with a chance of rain throughout the day.,rain,"06260099999,D3248,06348099999,06249099999,C0449,06240099999,06269099999,06257099999,06344099999"
"Amsterdam,Netherlands",2024-03-01,9.2,5.1,7.6,6.5,2,4.2,5.4,86,2.291,100,33.33,rain,0,0,57.5,37.6,171.4,999.9,80.7,28.5,55.7,4.8,3,,2024-03-01T07:25:45,2024-03-01T18:20:27,0.7,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"06260099999,C0449,06257099999,EHAM,D3248,EHRD,06348099999,06249099999,06240099999,EHLE,EHKD,06269099999,06344099999"
"Amsterdam,Netherlands",2024-03-02,11.5,5.4,8.9,11.5,1.9,6.8,4.2,73.6,0.755,100,20.83,rain,0,0,49.4,37.1,150.7,998.6,72.6,39.8,98.6,8.4,5,,2024-03-02T07:23:31,2024-03-02T18:22:17,0.73,"Rain, Partially cloudy",Partly cloudy throughout the day with rain clearing later.,rain,"06260099999,D3248,06348099999,06249099999,C0449,06240099999,06269099999,06257099999,06344099999"
"Amsterdam,Netherlands",2024-03-03,14.3,7.8,10.6,14.3,5,9.6,6.6,77,0,0,0,,0,0,36.1,21.5,143.2,1001.1,99.5,32,76.7,6.6,4,,2024-03-03T07:21:16,2024-03-03T18:24:06,0.75,Overcast,Cloudy skies throughout the day.,cloudy,"06260099999,D3248,06348099999,06249099999,C0449,06240099999,06269099999,06257099999,06344099999"
"Amsterdam,Netherlands",2024-03-04,10.4,4.2,7.5,10.4,1.9,5.6,4.2,81,0,0,0,,0,0,33.7,23.8,306.9,1011.1,98.3,35.7,88.3,7.7,5,,2024-03-04T07:19:01,2024-03-04T18:25:55,0.8,Overcast,Cloudy skies throughout the day.,cloudy,"06260099999,D3248,06348099999,06249099999,C0449,06240099999,06269099999,06257099999,06344099999"
